"NO","営業所名称","営業の種類","区","営業所所在地","緯度","経度","営業者名","許可番号","許可満了日","申請区分"
25250176,"どうとんぼり神座","飲食店営業","平野","長吉出戸７丁目２番７１号",34.614431,135.574952,"株式会社どうとんぼり神座","大 保食第19-15180号","令和7年12月27日","更新"
25002194,"ロレンス","飲食店営業","平野","長吉出戸７丁目３番６３号",34.612887,135.574816,"浜野　悦美","大　保環第8282号","令和5年7月31日",NA
25260246,"一力寿司","飲食店営業","平野","長吉出戸７丁目３番６３号",34.612887,135.574816,"出口　操一","大　保環第18000号","令和3年1月31日",NA
25180109,"中国料理　龍伸","飲食店営業","平野","長吉出戸７丁目３番６５号",34.613078,135.574863,"大橋　伸治","大　保環第16821号","令和3年12月27日",NA
25290134,"Ｌｕａｎａ","飲食店営業","平野","長吉出戸７丁目８番１１号",34.611673,135.575846,"西原　真奈美","大　保環第11031号","令和5年9月30日",NA
25190207,"ホルモン焼　はまやん","飲食店営業","平野","長吉出戸７丁目１１番２６号",34.609004,135.576657,"濱野　洋一","大 保食第19-12480号","令和7年11月30日","更新"
25190133,"お食事処　山香","飲食店営業","平野","長吉出戸７丁目１２番２９号",34.610376,135.577199,"阿部　保幸","大 保食第19-11399号","令和7年10月31日","更新"
25270116,"株式会社万代　長吉店　従業員休憩所（ＣＣＷ受託）","喫茶店営業","平野","長吉出戸７丁目１２番２９号",34.610376,135.577199,"株式会社　アペックス西日本","大　保環第12156号","令和2年10月31日",NA
25150068,"株式会社　万代　長吉店","飲食店営業","平野","長吉出戸７丁目１３番１５号",34.61315,135.575691,"株式会社　万代","大　保環第5133号","令和3年6月30日",NA
25150075,"株式会社　万代　長吉店","喫茶店営業","平野","長吉出戸７丁目１３番１５号",34.61315,135.575691,"株式会社万代","大 保食第18-4596号","令和5年6月30日","更新"
25290014,"布施マルタマフーズ株式会社　共立病院","飲食店営業","平野","長吉出戸７丁目１４番１３号",34.61315,135.575691,"布施マルタマフーズ株式会社","大　保環第2509号","令和5年4月30日","新規"
90012664,"医療法人豊旺会　共立病院内　厨房富士産業（株）","飲食店営業","平野","長吉出戸７丁目１４番１３号",34.61315,135.575691,"富士産業株式会社","大 保食第19-1666号","令和7年4月30日","新規"
90019165,"共立病院","飲食店営業","平野","長吉出戸７丁目１４番１３号",34.61315,135.575691,"株式会社ジャパンビバレッジホールディングス","大 保食第19-15182号","令和7年1月31日","新規"
25250186,"居酒屋ぼらぼら","飲食店営業","平野","長吉出戸８丁目３番３９号",34.608118,135.574335,"増田　共永","大　保環第15946号","令和1年12月27日",NA
90001176,"卯鳥天","飲食店営業","平野","長吉出戸８丁目３番３９号",34.608118,135.574335,"西原　好之","大 保食第17-3601号","令和5年12月27日","新規"
25230074,"ファミリーマート　平野長吉出戸店","飲食店営業","平野","長吉出戸８丁目３番４９号",34.608118,135.574335,"株式会社　ティーアンドケー","大　保環第5489号","令和5年6月30日",NA
25240159,"カーチス大阪　平野","喫茶店営業","平野","長吉出戸８丁目４番１７号",34.607479,135.575007,"株式会社ジャパンビバレッジホールディングス","大 保食第17-1133号","令和4年10月31日","更新"
90003715,"山ちゃん","飲食店営業","平野","長吉出戸８丁目６番１４号",34.606849,135.57421,"山中　孝彦","大 保食第18-348号","令和6年4月30日","新規"
90009192,"喫茶蓮花","飲食店営業","平野","長吉出戸８丁目６番１４号",34.606849,135.57421,"藤田　直美","大 保食第18-12340号","令和6年11月30日","新規"
25210059,"炉ばた　ひげの梅ちゃん","飲食店営業","平野","長吉出戸８丁目７番１８号",34.606485,135.576263,"梅谷　敏次","大　保環第5930号","令和3年6月30日",NA
25200268,"長吉うまさく","飲食店営業","平野","長吉出戸８丁目１２番２号",34.60876,135.576849,"坂元　雅教","大　保環第18972号","令和3年2月28日",NA
25200181,"コーヒハウス　ティアンドティ","飲食店営業","平野","長吉長原１丁目１番８号",34.608623,135.567597,"豊海　秀匡","大　保環第13674号","令和2年10月31日",NA
25250075,"㈱ダイエー長吉店　５Ｆ従食（ｃｃｗ受託）","喫茶店営業","平野","長吉長原１丁目１番１０号",34.608582,135.567805,"株式会社　アペックス西日本","大 保食第18-5739号","令和5年7月31日","更新"
25220312,"セブン－イレブン　大阪出戸駅前店","飲食店営業","平野","長吉長原１丁目１番５３号",34.608646,135.566883,"岩本　雅夫","大　保環第19511号","令和5年1月31日",NA
25190085,"味どころ　晴れる家","飲食店営業","平野","長吉長原１丁目２番２６号",34.606293,135.568422,"正村　晴伸","大 保食第19-8095号","令和7年8月31日","更新"
25130044,"瀬","飲食店営業","平野","長吉長原１丁目２番３０号",34.606246,135.568036,"瀬　泰彦","大 保食第19-5454号","令和7年6月30日","更新"
25030219,"魚国総本社・大阪２７５０３","飲食店営業","平野","長吉長原１丁目２番３４号",34.606471,135.567708,"株式会社　魚国総本社","大 保食第17-1131号","令和5年10月31日","更新"
25020596,"寿司正","飲食店営業","平野","長吉長原１丁目２番３９号",34.60629,135.567294,"伏井　勝栄","大　保環第4396号","令和5年6月30日",NA
25170085,"キッサ　長吉","飲食店営業","平野","長吉長原１丁目２番３９号",34.60629,135.567294,"花村　弘子","大　保環第8774号","令和5年7月31日",NA
25180351,"カラオケ喫茶　勝","飲食店営業","平野","長吉長原１丁目２番４９号",34.607243,135.567192,"酒井　忠勝","大 保食第19-1823号","令和7年4月30日","更新"
25250183,"粉処　十八","飲食店営業","平野","長吉長原１丁目２番４９号",34.607243,135.567192,"株式会社　ＮＵＮＣ","大 保食第19-16373号","令和8年1月31日","更新"
25260282,"ＯＲＴＯＬＯＵＮＧＥ","飲食店営業","平野","長吉長原１丁目２番４９号",34.607243,135.567192,"有限会社　ブルームズ","大　保環第20686号","令和3年3月31日",NA
25270089,"カラオケ　ライブ　平野店","飲食店営業","平野","長吉長原１丁目２番４９号",34.607243,135.567192,"株式会社　第一関西","大　保環第8809号","令和3年8月31日",NA
25270124,"ＡＳＨ","飲食店営業","平野","長吉長原１丁目２番４９号",34.607243,135.567192,"伯川　公一","大　保環第11459号","令和3年10月31日",NA
90010051,"Ａ２","飲食店営業","平野","長吉長原１丁目２番４９号",34.607243,135.567192,"伯川　公一","大 保食第18-14239号","令和7年1月31日","新規"
90015280,"Ｈａｐｐｙ","飲食店営業","平野","長吉長原１丁目２番４９号",34.607243,135.567192,"鍛治　優生","大 保食第19-7113号","令和7年8月31日","新規"
25260137,"Ｐ’ｓ","飲食店営業","平野","長吉長原１丁目２番４９－６Ｃ号",34.607243,135.567192,"大西　太","大　保環第8581号","令和2年8月31日",NA
25260220,"松田屋酒店","飲食店営業","平野","長吉長原１丁目４番９号",34.606582,135.570353,"松田　一子","大　保環第15419号","令和2年11月30日",NA
90010968,"きっちん福八","飲食店営業","平野","長吉長原１丁目６番４２号",34.607573,135.568289,"合同会社ｔｅｎ","大 保食第18-16037号","令和7年2月28日","新規"
90012916,"いろは","飲食店営業","平野","長吉長原１丁目６番４２号",34.607573,135.568289,"有限会社マルフクメディカルフーズ","大 保食第19-1478号","令和7年4月30日","新規"
25230320,"居酒屋＆ＢＡＲ　ＲＯＯＭＳ","飲食店営業","平野","長吉長原１丁目７番１４号",34.608107,135.569705,"尾﨑　稔","大 保食第17-7112号","令和6年2月29日","更新"
25250225,"まんぞく居酒屋　夕焼けこやけ","飲食店営業","平野","長吉長原１丁目８番１５号",34.607693,135.5705,"株式会社ジェイソレイド","大 保食第19-17442号","令和8年2月28日","更新"
25200018,"パブ＆スナック　Ｏｎｅ　Ｌｏｖｅ　ワン・ラブ","飲食店営業","平野","長吉長原１丁目９番１０号",34.607576,135.57175,"島田　良子","大　保環第3600号","令和2年4月30日",NA
25100104,"酒肴屋","飲食店営業","平野","長吉長原１丁目９番１４号",34.607607,135.572041,"榎本　順二","大　保環第23017号","令和5年3月31日","新規"
25190209,"レギャン","飲食店営業","平野","長吉長原１丁目９番１４号",34.607607,135.572041,"松田　順弘","大 保食第19-12321号","令和7年11月30日","更新"
25210073,"まごころダイニング　金魚","飲食店営業","平野","長吉長原１丁目９番３７号",34.607898,135.570716,"榎本　桂子","大　保環第7711号","令和3年7月31日",NA
25150033,"スシロー長吉長原店","飲食店営業","平野","長吉長原１丁目１１番１５号",34.607276,135.572821,"株式会社　あきんどスシロー","大　保環第3208号","令和3年5月31日",NA
25250171,"坐　松本","飲食店営業","平野","長吉長原１丁目１２番２号",34.606793,135.570711,"株式会社　松本","大　保環第14684号","令和1年12月27日","新規"
90018793,"坐　松本","飲食店営業","平野","長吉長原１丁目１２番２号",34.606793,135.570711,"松本　雅一","大 保食第19-14586号","令和7年12月27日","新規"
25090251,"日本マクドナルド株式会社　長吉長原店","飲食店営業","平野","長吉長原１丁目１３番１５号",34.606685,135.572558,"日本マクドナルド株式会社","大　保環第19530号","令和5年1月31日",NA
90010776,"グローバルケア平野","飲食店営業","平野","長吉長原１丁目１３番２３号",34.606501,135.57193,"有限会社ミストラル","大 保食第18-15581号","令和7年2月28日","新規"
25260184,"お好み焼　たうちゃん","飲食店営業","平野","長吉長原２丁目１番１０号",34.60614,135.568419,"坂本　民江","大　保環第12059号","令和2年10月31日",NA
25290083,"中国菜みやけ","飲食店営業","平野","長吉長原２丁目２番５８号",34.604351,135.567717,"三宅　平","大　保環第6590号","令和5年6月30日",NA
25270071,"おてんば娘","飲食店営業","平野","長吉長原２丁目２番６２号",34.604787,135.567531,"古川　彩華","大　保環第7398号","令和3年7月31日",NA
25230335,"大阪市立長吉小学校","飲食店営業","平野","長吉長原２丁目６番５５号",34.605835,135.569328,"コック食品株式会社","大 保食第18-2627号","令和6年4月30日","更新"
25150133,"与助","飲食店営業","平野","長吉長原２丁目１１番２号",34.605676,135.570678,"岡本　恭芳","大　保環第9174号","令和3年8月31日","更新"
25290044,"セブン－イレブン大阪長吉長原２丁目店","飲食店営業","平野","長吉長原２丁目１１番１２号",34.605651,135.571486,"倉本　篤","大　保環第4388号","令和5年5月31日",NA
90014512,"セブン－イレブン大阪長吉長原２丁目店","飲食店営業","平野","長吉長原２丁目１１番１２号",34.605651,135.571486,"株式会社セブン－イレブン・ジャパン","大 保食第19-5443号","令和7年7月31日","新規"
25250031,"さん天　長吉長原店","飲食店営業","平野","長吉長原２丁目１４番１１号",34.605682,135.572622,"サトフードサービス株式会社","大 保食第19-3406号","令和7年6月30日","更新"
25070396,"かもまさ","飲食店営業","平野","長吉長原２丁目１４番１７号",34.605196,135.572591,"日髙　政人","大 保食第19-16374号","令和8年2月28日","更新"
25170109,"つくねや","飲食店営業","平野","長吉長原３丁目５番２５号",34.602022,135.568272,"中川　治","大　保環第9186号","令和5年8月31日",NA
90003251,"セブン－イレブン大阪長原３丁目店","飲食店営業","平野","長吉長原３丁目５番３５号",34.602622,135.567847,"中埜　顕治","大 保食第17-7372号","令和6年3月31日","新規"
90014568,"エニタイムフィットネス長吉長原店","喫茶店営業","平野","長吉長原３丁目５番３５号",34.602622,135.567847,"株式会社ガウラ","大 保食第19-5456号","令和6年7月31日","新規"
25090153,"だいきうどん","飲食店営業","平野","長吉長原３丁目１６番１０号",34.602416,135.572938,"株式会社　ダイキフーズ","大　保環第12877号","令和3年10月31日",NA
25250253,"ＦＥＮＩＣＥ","飲食店営業","平野","長吉長原３丁目１６番１０号",34.602416,135.572938,"萩原　大介","大　保環第1282号","令和2年4月30日",NA
25200308,"ローソン長原駅西店","飲食店営業","平野","長吉長原３丁目１６番１４号",34.602061,135.573118,"徳　義雄","大　保環第3202号","令和3年4月30日",NA
25002360,"和食さと　長原店","飲食店営業","平野","長吉長原３丁目１７番１０号",34.603476,135.57278,"サトフードサービス株式会社","大　保環第1133号","令和5年3月31日",NA
25180096,"ローソン長吉長原店","飲食店営業","平野","長吉長原４丁目１番１号",34.601816,135.568008,"髙木　裕子","大 保食第18-8170号","令和6年8月31日","更新"
25250026,"ｃａｆｅ　ｍｏｔｏ","飲食店営業","平野","長吉長原４丁目１番２７号",34.601074,135.568064,"岡本　聡子","大 保食第19-4890号","令和7年5月31日","更新"
25260132,"シェリーポート　長吉","飲食店営業","平野","長吉長原４丁目１番２８号",34.601166,135.568053,"岩田　純一","大　保環第9447号","令和2年8月31日",NA
