"NO","営業所名称","営業の種類","区","営業所所在地","緯度","経度","営業者名","許可番号","許可満了日","申請区分"
25120173,"イオン長吉店（グリルチキン・弁当）","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"イオンリテールストア株式会社","大 保食第18-11575号","令和6年10月31日","更新"
25120173,"イオン長吉店（ピザ、おにぎり）","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"イオンリテールストア株式会社","大　保環第12781号","令和5年10月31日",NA
25120173,"イオン長吉店（焼魚・寿司）","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"イオンリテールストア株式会社","大　保環第775号","令和4年3月31日",NA
25120173,"イオン長吉店（惣菜）","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"イオンリテールストア株式会社","大　保環第778号","令和4年3月31日",NA
25160148,"イオン長吉店（おいしい水）","喫茶店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"イオンリテールストア株式会社","大 保食第19-9424号","令和6年9月30日","更新"
25190119,"弁当屋　アンド　フリージア","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"有限会社アドヴァンスフード","大 保食第19-12243号","令和7年11月30日","新規"
25230035,"太閤","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社シェフズパッション","大 保食第18-2622号","令和6年4月30日","更新"
25240039,"阪急ベーカリー＆カフェ　イオン長吉店","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社阪急Ｂ＆Ｃプランニング","大 保食第18-2920号","令和6年5月31日","更新"
25250172,"しゃぶしゃぶ健康　長吉店","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社　ジーテイスト","大　保環第14691号","令和1年12月27日",NA
25260095,"イオンリテール（株）　長吉店　２Ｆ駐車場（ＣＣＷ受託）","喫茶店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社　アペックス西日本","大 保食第19-5457号","令和6年7月31日","更新"
25260096,"イオンリテール（株）　長吉店　Ｂ１Ｆ（ＣＣＷ受託）","喫茶店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社　アペックス西日本","大 保食第19-5460号","令和6年7月31日","更新"
25290070,"ドムドムハンバーガー長吉店","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社　ドムドムフードサービス","大　保環第5864号","令和5年6月30日",NA
25290121,"サムズカフェ","飲食店営業","平野","長吉長原西１丁目１番３０号",34.608429,135.566056,"ウノスプランニング株式会社","大　保環第11027号","令和5年9月30日",NA
25280201,"麺や　一帆","飲食店営業","平野","長吉長原西１丁目３番１３号",34.606968,135.566017,"原田　智文","大　保環第18582号","令和5年1月31日",NA
25130313,"ピアジョリ－出戸店","飲食店営業","平野","長吉長原西１丁目４番６号",34.60729,135.566592,"有限会社アドヴァンスフ－ド","大　保環第2770号","令和2年4月30日",NA
25190361,"花満円　出戸店","飲食店営業","平野","長吉長原西１丁目４番６号",34.60729,135.566592,"有限会社アドヴァンスフード","大　保環第2771号","令和2年5月31日",NA
25260210,"コメダ珈琲　ダイエー長吉店","飲食店営業","平野","長吉長原西１丁目４番６号",34.60729,135.566592,"株式会社　にぶ","大　保環第15011号","令和2年11月30日",NA
25260223,"Ｉ’ＬＬ","飲食店営業","平野","長吉長原西１丁目４番６号",34.60729,135.566592,"アイルフィットネストレーニング有限会社","大　保環第15837号","令和2年12月27日",NA
25240116,"餃子の王将　出戸店","飲食店営業","平野","長吉長原西１丁目４番１５号",34.606921,135.5669,"株式会社　三　久","大 保食第18-8969号","令和6年9月30日","更新"
25240146,"ローソン長吉長原西一丁目店","飲食店営業","平野","長吉長原西１丁目５番２０号",34.60639,135.567083,"株式会社　ティオコーポレーション","大 保食第18-14241号","令和6年10月31日","更新"
25170234,"とおせんぼ","飲食店営業","平野","長吉長原西１丁目５番２５号",34.606429,135.566825,"瀬尾　修一","大 保食第17-1599号","令和5年11月30日","更新"
25190140,"街灯り","飲食店営業","平野","長吉長原西１丁目５番４４号",34.606718,135.565336,"松原　かおる","大 保食第19-10223号","令和7年10月31日","更新"
25200212,"Ｃｏｃｃｏ　ｄｅｌ　Ｕｃｉｎａ","飲食店営業","平野","長吉長原西２丁目１番１号",34.606137,135.565342,"宇都宮　文彦","大　保環第15836号","令和2年12月27日",NA
90001868,"ＣＡＦＥ　ＳＫＲ　","飲食店営業","平野","長吉長原西２丁目１番６号",34.606101,135.565928,"藤井　勇","大 保食第17-4340号","令和6年1月31日","新規"
25210048,"カラオケステージ　チャーミー","飲食店営業","平野","長吉長原西２丁目２番６号",34.606076,135.566661,"上野山　茂男","大　保環第5927号","令和3年6月30日",NA
90010833,"からあげ持帰り専門店　カリッジュ","飲食店営業","平野","長吉長原西３丁目４番１２号",34.602388,135.567719,"株式会社クレイセス","大 保食第18-18286号","令和7年3月31日","新規"
25290168,"ＣＡＮＣＥＲ","飲食店営業","平野","長吉長原西３丁目４番１８号",34.601988,135.567736,"桑原　洋子","大 保食第17-682号","令和5年11月30日","新規"
25210242,"ラーメン食堂　一","飲食店営業","平野","長吉長原西３丁目５番１６号",34.601302,135.567597,"内藤　一","大　保環第18815号","令和4年1月31日",NA
25220329,"スナック　ひだまり","飲食店営業","平野","長吉長原西３丁目５番１６号",34.601302,135.567597,"吉田　千亜由","大　保環第18583号","令和5年2月28日",NA
25140280,"スーパーことぶき","飲食店営業","平野","長吉長原西３丁目５番１７号",34.60106,135.567703,"株式会社　寿","大　保環第20097号","令和3年2月28日",NA
25140280,"スーパーことぶき","飲食店営業","平野","長吉長原西３丁目５番１７号",34.60106,135.567703,"株式会社　寿","大　保環第770号","令和4年3月31日",NA
25270172,"呑み食い処　要","飲食店営業","平野","長吉長原西３丁目５番１７号",34.60106,135.567703,"花園　茂雄","大　保環第17376号","令和4年1月31日",NA
25290093,"橋本工業","喫茶店営業","平野","長吉長原西３丁目８番３３号",34.600097,135.566603,"ナショナル・ベンディング株式会社","大　保環第7385号","令和4年7月31日",NA
25020462,"ねぎぼうず","飲食店営業","平野","長吉長原西３丁目９番１４号",34.600519,135.567956,"斉藤　松栄","大　保環第16633号","令和4年11月30日",NA
25001987,"冨士","飲食店営業","平野","長吉長原西４丁目３番３８号",34.597685,135.564384,"池田　エミ","大　保環第9790号","令和5年8月31日",NA
25110025,"ピリカ","飲食店営業","平野","長吉長原西４丁目３番４０号",34.597796,135.564076,"出村　一子","大　保環第5488号","令和5年6月30日",NA
25200032,"塩屋","飲食店営業","平野","長吉長原西４丁目６番６号",34.597885,135.568209,"塩崎　たまゑ","大　保環第1688号","令和2年5月31日",NA
25130053,"とんかつ　かつ喜　長吉長原店","飲食店営業","平野","長吉長原東１丁目１番１号",34.605968,135.573722,"株式会社　きらく","大 保食第19-5254号","令和7年6月30日","更新"
25190292,"カラオケ喫茶　たかこ","飲食店営業","平野","長吉長原東１丁目１番８号",34.606274,135.574496,"新村　タカ子","大　保環第19654号","令和2年3月31日",NA
25250261,"Ｗａｐｈｉ　ｙａｐｉ","飲食店営業","平野","長吉長原東１丁目１番８号",34.606274,135.574496,"石田　勢津子","大　保環第2374号","令和2年4月30日",NA
25002248,"日本ケンタッキーフライドチキン株式会社　長吉店","飲食店営業","平野","長吉長原東１丁目１番４１号",34.606279,135.573719,"日本ケンタッキー・フライド・チキン株式会社","大　保環第4005号","令和2年6月30日",NA
25130191,"ファ－ストフ－ド　ササキ","飲食店営業","平野","長吉長原東１丁目２番２２号",34.605329,135.575002,"佐々木　茂雄","大 保食第19-15952号","令和8年1月31日","更新"
25250218,"日本料理　寅吉","飲食店営業","平野","長吉長原東１丁目２番５６号",34.604201,135.573652,"吉富　道代","大　保環第18532号","令和2年2月29日",NA
90019712,"日本料理　寅吉","飲食店営業","平野","長吉長原東１丁目２番５６号",34.604201,135.573652,"株式会社寅吉","大 保食第19-16767号","令和8年2月28日","新規"
25280251,"酔虎伝　長吉店","飲食店営業","平野","長吉長原東１丁目２番５８号",34.604279,135.573727,"有限会社　ラフォーレタカノ","大　保環第22702号","令和5年3月31日",NA
25210086,"なか卯　長吉長原東店","飲食店営業","平野","長吉長原東１丁目２番６３号",34.604704,135.573883,"株式会社なか卯","大　保環第9364号","令和3年8月31日",NA
25260003,"焼肉特急","飲食店営業","平野","長吉長原東１丁目２番６９号",34.605379,135.573605,"株式会社　松屋","大　保環第1281号","令和2年4月30日",NA
25290063,"セブン－イレブン大阪長吉長原東１丁目店","飲食店営業","平野","長吉長原東１丁目７番５号",34.606324,135.575846,"合同会社　Ｒ＆Ｎ","大　保環第5615号","令和5年6月30日",NA
25150148,"スナック　ウエルカム","飲食店営業","平野","長吉長原東１丁目７番７号",34.606282,135.576074,"刀禰　光代","大　保環第9761号","令和3年8月31日",NA
25290042,"カラオケ喫茶　三休","飲食店営業","平野","長吉長原東１丁目７番７号",34.606282,135.576074,"島谷　賢治","大　保環第3865号","令和5年5月31日",NA
90000345,"カラオケ喫茶　けいこ","飲食店営業","平野","長吉長原東１丁目７番７号",34.606282,135.576074,"野村　慶子","大 保食第17-1600号","令和5年11月30日","新規"
25190277,"三府寿司","飲食店営業","平野","長吉長原東１丁目７番２７号",34.605962,135.575446,"川上　男","大　保環第18526号","令和2年1月31日","更新"
25220363,"武","飲食店営業","平野","長吉長原東１丁目７番２７号",34.605962,135.575446,"山田　武司","大　保環第1152号","令和5年3月31日",NA
90013367,"肉匠斎野","飲食店営業","平野","長吉長原東１丁目７番２７号",34.605962,135.575446,"斉野　尚史","大 保食第19-4154号","令和7年6月30日","新規"
25100174,"ホームベーカリー　ブレッドハウス　Ｂｒｅａｄ　Ｈｏｕｓｅ","飲食店営業","平野","長吉長原東１丁目７番２８号",34.606043,135.575449,"神尾　茂","大　保環第22516号","令和5年3月31日",NA
90008952,"たまりば","飲食店営業","平野","長吉長原東２丁目１番４０号",34.603401,135.57433,"中野　照美","大 保食第18-14795号","令和7年1月31日","新規"
25240001,"ＮＯＢＯ","飲食店営業","平野","長吉長原東２丁目１番４１号",34.603279,135.5738,"城前　昇","大 保食第18-2999号","令和6年4月30日","更新"
25260254,"ゆうちゃん　カルビ丼","飲食店営業","平野","長吉長原東２丁目１番４１号",34.603279,135.5738,"川上　舞也","大　保環第18971号","令和3年2月28日",NA
25200267,"河内屋","飲食店営業","平野","長吉長原東２丁目１番４４号",34.603191,135.573796,"亀田　昌明","大　保環第20213号","令和3年2月28日",NA
25270084,"セブン－イレブン大阪長原駅北店","飲食店営業","平野","長吉長原東２丁目１番４７号",34.603401,135.57433,"中埜　顕治","大　保環第8810号","令和3年8月31日",NA
25150120,"炭火焼鳥Ｄｉｎｉｎｇ門","飲食店営業","平野","長吉長原東２丁目２番２７号",34.602394,135.574602,"株式会社ダウンタウン","大　保環第7091号","令和3年7月31日",NA
25200086,"ローソン長原駅前店","飲食店営業","平野","長吉長原東２丁目２番３１号",34.601991,135.574099,"株式会社オーエイケイ","大　保環第5322号","令和2年6月30日",NA
25030050,"割鮮倶楽部","飲食店営業","平野","長吉長原東２丁目３番２０号",34.602566,135.575468,"坂本　博","大　保環第3863号","令和5年6月30日","更新"
25240071,"大阪やきとり亭　長原店","飲食店営業","平野","長吉長原東２丁目３番２１号",34.602538,135.575996,"上村　清","大 保食第18-13052号","令和6年7月31日","更新"
25280204,"海鮮丼お持帰専門店　土佐家","飲食店営業","平野","長吉長原東２丁目３番２６号",34.602088,135.575838,"森本　好信","大　保環第19124号","令和5年1月31日","新規"
90008909,"炉ばたひげの梅ちゃん","飲食店営業","平野","長吉長原東２丁目３番２６号",34.602088,135.575838,"梅谷　敏次","大 保食第18-11578号","令和6年11月30日","新規"
25160236,"武千代","飲食店営業","平野","長吉長原東２丁目３番２８号",34.602438,135.57601,"久野　千恵子","大　保環第16207号","令和4年12月27日",NA
25280123,"菊水堂","飲食店営業","平野","長吉長原東２丁目３番２８号",34.602438,135.57601,"楠木　孝典","大　保環第10980号","令和4年9月30日",NA
25280011,"串本舗とさか鳥てん","飲食店営業","平野","長吉長原東３丁目１番４号",34.601783,135.574482,"株式会社　トゥーズ・プランニング","大　保環第2472号","令和4年4月30日",NA
25160246,"グルメシティ長原店","飲食店営業","平野","長吉長原東３丁目１番１２号",34.601461,135.574641,"株式会社　ダイエー","大　保環第3870号","令和5年8月31日","更新"
25160246,"グルメシティ長原店","飲食店営業","平野","長吉長原東３丁目１番１２号",34.601461,135.574641,"株式会社　ダイエー","大　保環第3871号","令和5年8月31日","更新"
25210309,"カラオケサロン　さくら","飲食店営業","平野","長吉長原東３丁目１番３２号",34.599669,135.574974,"乾　充男","大　保環第3534号","令和4年4月30日",NA
90002213,"長原典礼会館","飲食店営業","平野","長吉長原東３丁目１番４５号",34.599411,135.574699,"株式会社日本セレモニー","大 保食第17-6138号","令和6年2月29日","新規"
25120200,"サイゼリヤ　長原インタ－店","飲食店営業","平野","長吉長原東３丁目１番６２号",34.601013,135.574238,"株式会社　サイゼリヤ","大 保食第18-11745号","令和6年11月30日","更新"
25240263,"丸亀製麺　長吉長原店","飲食店営業","平野","長吉長原東３丁目１番６２号",34.601013,135.574238,"株式会社　トリドールジャパン","大 保食第19-2241号","令和7年3月31日","更新"
25260216,"餃子の王将　中環長原店","飲食店営業","平野","長吉長原東３丁目１番６２号",34.601013,135.574238,"株式会社　三久","大　保環第16240号","令和2年12月27日",NA
25160078,"釜揚げうどん　桂ちゃん","飲食店営業","平野","長吉長原東３丁目１番６８号",34.601455,135.574207,"寺田　桂治","大　保環第8754号","令和4年7月31日",NA
25190256,"大阪ふくちぁんラーメン　長原店","飲食店営業","平野","長吉長原東３丁目１番６８号",34.601455,135.574207,"株式会社アストジャパン","大　保環第17342号","令和2年1月31日",NA
25220178,"海鮮れすとらん　魚輝水産　長原店","飲食店営業","平野","長吉長原東３丁目１番７１号",34.601738,135.574274,"株式会社　魚輝水産","大　保環第13256号","令和4年10月31日","更新"
25230175,"ほっともっと　長吉長原店","飲食店営業","平野","長吉長原東３丁目１番７１号",34.601738,135.574274,"株式会社　プレナス","大　保環第12690号","令和5年9月30日",NA
25250158,"ばんどう亭","飲食店営業","平野","長吉長原東３丁目１番７１号",34.601738,135.574274,"株式会社バンドウ","大 保食第19-11980号","令和7年11月30日","更新"
25170091,"英（はなぶさ）","飲食店営業","平野","長吉長原東３丁目２番１号",34.601713,135.575071,"朝井　英史","大　保環第8775号","令和5年7月31日","更新"
25270212,"たこやき居酒屋　笑顔","飲食店営業","平野","長吉長原東３丁目２番１号",34.601713,135.575071,"矢野　敏江","大　保環第21902号","令和4年3月31日",NA
90007819,"たこやき居酒屋　笑顔","飲食店営業","平野","長吉長原東３丁目２番１号",34.601713,135.575071,"トシエズ株式会社","大 保食第18-8966号","令和6年9月30日","新規"
25130220,"ニュ－アメリカン","飲食店営業","平野","長吉長原東３丁目２番１２号",34.60183,135.576268,"吉内　和美","大 保食第19-13986号","令和7年12月27日","更新"
25140228,"じん平寿司","飲食店営業","平野","長吉長原東３丁目２番１２号",34.60183,135.576268,"吉内　秀徳","大　保環第14058号","令和2年11月30日","更新"
25130202,"しゃりしゃり","飲食店営業","平野","長吉長原東３丁目２番３４号",34.599858,135.576238,"有限会社アラワード","大　保環第18536号","令和1年12月27日",NA
25190273,"靜","飲食店営業","平野","長吉長原東３丁目２番４０号",34.599627,135.576349,"酒井　康子","大 保食第19-15953号","令和8年1月31日","更新"
25050293,"カフェアンドバー　イーゴ","飲食店営業","平野","長吉長原東３丁目２番７３号",34.601552,135.575168,"有限会社　エーエムオー","大　保環第21282号","令和5年2月28日",NA
25150377,"林酒店","飲食店営業","平野","長吉長原東３丁目５番６号",34.601769,135.577018,"林　佳也","大　保環第753号","令和4年3月31日",NA
25002301,"本こけし","飲食店営業","平野","長吉長原東３丁目６番６号",34.601908,135.577457,"川﨑　保美","大　保環第6197号","令和4年6月30日",NA
25160325,"ダイヤス","飲食店営業","平野","長吉長原東３丁目６番９号",34.601611,135.577457,"安東　真寿代","大　保環第1654号","令和5年4月30日",NA
25020539,"カフェ・ド・メール","飲食店営業","平野","長吉長原東３丁目６番２１号",34.601605,135.577224,"北田　健二","大　保環第22518号","令和5年2月28日",NA
25040010,"鳥甚","飲食店営業","平野","長吉長原東３丁目６番２１号",34.601605,135.577224,"山口　寛二","大　保環第1187号","令和4年4月30日",NA
25150229,"鮨竹　長吉店","飲食店営業","平野","長吉長原東３丁目６番２３号",34.601916,135.577349,"竹森　信子","大　保環第13899号","令和3年11月30日",NA
25230200,"潮目","飲食店営業","平野","長吉長原東３丁目６番２３号",34.601916,135.577349,"小原田　千枝子","大 保食第17-1128号","令和5年10月31日","更新"
25270211,"フライショップ　いしい","飲食店営業","平野","長吉長原東３丁目６番２３号",34.601916,135.577349,"石井　あゆみ","大　保環第1181号","令和4年4月30日",NA
25210238,"たこ焼　あほや","飲食店営業","平野","長吉長原東３丁目７番２号",34.601894,135.577916,"野沢　康久","大　保環第18435号","令和4年1月31日",NA
25250096,"カラオケ喫茶　Ｒｉｎ","飲食店営業","平野","長吉長原東３丁目７番１２号",34.601555,135.578238,"吉田　弥生","大 保食第19-8125号","令和7年8月31日","更新"
25002497,"山川商店","飲食店営業","平野","長吉長原東３丁目７番２２号",34.601408,135.577893,"廣森　勝","大　保環第9165号","令和3年8月31日",NA
25220325,"そんぐす　いとや","飲食店営業","平野","長吉長原東３丁目７番２６号",34.601708,135.577705,"今井　利治","大　保環第22517号","令和5年2月28日",NA
25090057,"勝たこ","飲食店営業","平野","長吉長原東３丁目１３番１号",34.602055,135.578557,"勝見　テル子","大　保環第5509号","令和3年6月30日",NA
25002262,"シノハラ酒店","飲食店営業","平野","長吉長原東３丁目１３番６号",34.601991,135.579063,"篠原　義和","大　保環第20109号","令和2年11月30日",NA
25120123,"吉鳥","飲食店営業","平野","長吉長原東３丁目１３番３２号",34.601913,135.578541,"奥　充行","大 保食第18-11749号","令和6年8月31日","更新"
25280154,"ピザーラ・ビバパエリア平野店","飲食店営業","平野","長吉川辺２ー北３番２４号",34.596147,135.572653,"株式会社　フォーシーズ","大　保環第14925号","令和4年10月31日",NA
25090167,"富士家","飲食店営業","平野","長吉川辺２ー北４番５５号",34.596147,135.572653,"福井　浩光","大　保環第13901号","令和3年11月30日",NA
25230130,"そらまめ作業所　厨房","飲食店営業","平野","長吉川辺１丁目１番１９号",34.59773,135.570175,"株式会社　南テスティパル","大　保環第9187号","令和5年8月31日",NA
25240005,"パン工房　エピ","飲食店営業","平野","長吉川辺１丁目１番１９号",34.59773,135.570175,"社会福祉法人　つむぎ福祉会","大 保食第18-1466号","令和6年4月30日","更新"
25260242,"ローソン長吉川辺一丁目","飲食店営業","平野","長吉川辺１丁目１番３５号",34.597558,135.569228,"髙木　裕子","大　保環第18462号","令和3年1月31日",NA
25260167,"お好み　社長","飲食店営業","平野","長吉川辺２丁目１番４号",34.598008,135.570795,"細野　健司","大　保環第10154号","令和2年9月30日",NA
90002199,"プラーナ　平野　１Ｆシースルー　（ＣＣＷ単受）","喫茶店営業","平野","長吉川辺２丁目１番３２号",34.597341,135.572477,"株式会社アペックス西日本","大 保食第17-6135号","令和5年2月28日","新規"
90003119,"プラーナ","飲食店営業","平野","長吉川辺２丁目１番３２号",34.597341,135.572477,"株式会社マルワ","大 保食第17-7114号","令和6年3月31日","新規"
25220090,"ＳＥ大阪長吉川辺２丁目店","飲食店営業","平野","長吉川辺２丁目３番４号",34.597894,135.573077,"岡村　浩史","大　保環第6626号","令和4年6月30日",NA
25290127,"ＡＢＡＣＵＳ","飲食店営業","平野","長吉川辺２丁目５番１６号",34.595419,135.572078,"岡　郁子","大　保環第11033号","令和5年9月30日",NA
25220146,"㈱マツダ・シティーズ","喫茶店営業","平野","長吉川辺３丁目１番１４号",34.598602,135.575391,"株式会社ジャパンビバレッジホールディングス","大　保環第9166号","令和2年8月31日",NA
25003067,"ビッグエコー平野長吉店","飲食店営業","平野","長吉川辺３丁目１番２４号",34.598086,135.575188,"株式会社　第一興商近畿","大　保環第18816号","令和4年1月31日",NA
90001192,"フィッシングエイト　本店　３Ｆ休憩室（ＣＣＷ単受）","喫茶店営業","平野","長吉川辺３丁目１番３３号",34.598686,135.574785,"株式会社アペックス西日本","大 保食第17-3586号","令和4年12月27日","新規"
25002277,"日本マクドナルド株式会社　中環長吉店","飲食店営業","平野","長吉川辺３丁目１番３８号",34.599038,135.574908,"日本マクドナルド株式会社","大　保環第491号","令和5年3月31日",NA
25240254,"特別養護老人ホーム　こうのとり","飲食店営業","平野","長吉川辺３丁目２番３号",34.599311,135.57576,"株式会社塩梅","大 保食第19-1844号","令和7年3月31日","更新"
25270058,"ドミノ・ピザ　長吉川辺店","飲食店営業","平野","長吉川辺３丁目２番３０号",34.598074,135.575849,"株式会社　ドミノ・ピザジャパン","大　保環第6676号","令和3年7月31日","新規"
90016987,"ドミノピザ長吉川辺店","飲食店営業","平野","長吉川辺３丁目２番３０号",34.598074,135.575849,"安住　和希","大 保食第19-10218号","令和7年10月31日","新規"
90018399,"ジェミニ","飲食店営業","平野","長吉川辺３丁目３番１８号",34.598005,135.577485,"桑原　茜峰","大 保食第19-13983号","令和7年12月27日","新規"
25280063,"ミニストップ平野長吉川辺店","飲食店営業","平野","長吉川辺３丁目４番８０号",34.598052,135.578199,"湯村　達弘","大　保環第7723号","令和4年7月31日",NA
25290152,"ミニストップ平野長吉川辺店","飲食店営業","平野","長吉川辺３丁目４番８０号",34.598052,135.578199,"ミニストップ株式会社","大 保食第17-21号","令和5年10月31日","新規"
90001870,"ミニストップ平野長吉川辺店","飲食店営業","平野","長吉川辺３丁目４番８０号",34.598052,135.578199,"大屋　孔一","大 保食第17-4509号","令和6年1月31日","新規"
90006678,"大阪府立平野支援学校　給食室","飲食店営業","平野","長吉川辺３丁目４番１１５号",34.598713,135.577121,"サニーディッシュ株式会社","大 保食第18-7025号","令和6年8月31日","新規"
25260196,"エースフーズ","飲食店営業","平野","長吉川辺３丁目６番１号",34.597824,135.576688,"田村　正","大　保環第13362号","令和2年10月31日",NA
25260293,"４人のこびとたち","飲食店営業","平野","長吉川辺３丁目７番１８号",34.597005,135.576366,"寺前　芳一","大　保環第2880号","令和3年5月31日",NA
25180326,"かわなべ健康倶楽部","飲食店営業","平野","長吉川辺３丁目７番２７号",34.597538,135.575958,"株式会社　Ｔ．Ｍコーポレーション","大 保食第19-2232号","令和7年3月31日","更新"
25240248,"ヴェルジェ平野南　食堂","飲食店営業","平野","長吉川辺３丁目７番２９号",34.597716,135.575916,"サニーディッシュ株式会社","大 保食第18-16039号","令和7年2月28日","更新"
90015745,"ヴェルジェ平野南　食堂","飲食店営業","平野","長吉川辺３丁目７番２９号",34.597716,135.575916,"クックメディカルフーズ株式会社","大 保食第19-8127号","令和7年9月30日","新規"
25170317,"介護老人保健施設ながよし苑","飲食店営業","平野","長吉川辺３丁目８番５号",34.597683,135.575499,"株式会社　Ｔ．Ｍコーポレーション","大 保食第18-16028号","令和7年1月31日","更新"
25080327,"平野中央メモリアルホ－ル　１階","飲食店営業","平野","長吉川辺３丁目８番４３号",34.596777,135.5755,"株式会社セルビス","大　保環第14550号","令和2年11月30日",NA
25080327,"平野中央メモリアルホ－ル　２階","飲食店営業","平野","長吉川辺３丁目８番４３号",34.596777,135.5755,"株式会社セルビス","大　保環第14553号","令和2年12月27日",NA
25280029,"グットホーム麦畑","飲食店営業","平野","長吉川辺３丁目９番２０号",34.59668,135.577044,"有限会社ミストラル","大　保環第3549号","令和4年5月31日","新規"
25180090,"平野長吉食堂","飲食店営業","平野","長吉川辺３丁目１０番１２号",34.596691,135.578885,"株式会社　フジオフードシステム","大 保食第18-5743号","令和6年6月30日","更新"
90010997,"ホテル　ゼン","飲食店営業","平野","長吉川辺３丁目１３番１３号",34.595458,135.576252,"株式会社ケイエスジャパン","大 保食第18-16081号","令和7年2月28日","新規"
25002377,"ホテル小犬のベッド","飲食店営業","平野","長吉川辺３丁目１３番３３号",34.594806,135.576069,"有限会社小西観光","大　保環第18466号","令和3年2月28日",NA
25220276,"セラヴィ","飲食店営業","平野","長吉川辺３丁目１４番３５号",34.595283,135.576625,"ピース観光株式会社","大　保環第16631号","令和4年12月27日",NA
25180026,"㈱ジャパンメディカルフード　健康管理食調理宅配センター","飲食店営業","平野","長吉川辺３丁目１６番７号",34.596108,135.57951,"株式会社ジャパンメディカルフード","大 保食第18-1959号","令和6年4月30日","更新"
25160197,"Ｂ４　カフェ","飲食店営業","平野","長吉川辺３丁目１７番２５号",34.59467,135.578894,"島野珈琲株式会社","大　保環第16931号","令和4年10月31日",NA
25260151,"セブン‐イレブン　大阪長吉川辺３丁目","飲食店営業","平野","長吉川辺３丁目１８番３３号",34.594725,135.576613,"大重　隆幸","大　保環第9452号","令和2年8月31日",NA
25240213,"株式会社　万福　平野工場","飲食店営業","平野","長吉川辺３丁目１９番６号",34.594437,135.576391,"株式会社　万福","大 保食第18-16557号","令和7年2月28日","更新"
25160321,"特養長吉事業所","飲食店営業","平野","長吉川辺３丁目２０番１４号",34.593934,135.57858,"藏ウェルフェアサービス株式会社","大　保環第2045号","令和5年4月30日",NA
25160324,"永寿の里若葉事業所","飲食店営業","平野","長吉川辺３丁目２０番１４号",34.593934,135.57858,"藏ウェルフェアサービス株式会社","大　保環第2046号","令和5年4月30日",NA
25002376,"校内食堂永田食堂","飲食店営業","平野","長吉川辺４丁目２番１１号",34.588928,135.570311,"永田　浩人","大　保環第1333号","令和3年4月30日","更新"
25090296,"タケダツール（株）","喫茶店営業","平野","長吉川辺４丁目８７９番５号",34.591322,135.56935,"株式会社アペックス西日本","大 保食第18-430号","令和5年3月31日","更新"
25130182,"旭","飲食店営業","平野","長吉出戸１丁目７番６号",34.615417,135.562889,"株式会社　アサヒフード","大 保食第19-12941号","令和7年12月27日","更新"
25080261,"吉鳥","飲食店営業","平野","長吉出戸１丁目１１番５５号",34.613334,135.565006,"西山　昭","大　保環第15407号","令和2年10月31日",NA
90005308,"吉鳥","飲食店営業","平野","長吉出戸１丁目１１番５５号",34.613334,135.565006,"伊丹　昭治","大 保食第18-5060号","令和6年6月30日","新規"
25170359,"居酒屋　せんりゅう","飲食店営業","平野","長吉出戸１丁目１１番６９号",34.613984,135.564081,"金井　重一","大 保食第18-431号","令和6年3月31日","更新"
25002113,"喫茶ピッコロ","飲食店営業","平野","長吉出戸１丁目１１番７４号",34.6143,135.563731,"水野　幸夫","大　保環第17348号","令和2年2月29日",NA
25190001,"Ｇｒｉｌｌ　Ｙａｍａｓａｋｉ","飲食店営業","平野","長吉出戸１丁目１１番７４号",34.6143,135.563731,"山嵜　英二","大 保食第19-2432号","令和7年4月30日","更新"
25250168,"浜寿司","飲食店営業","平野","長吉出戸１丁目１１番７６号",34.614484,135.563611,"濱　誠次","大 保食第19-11976号","令和7年11月30日","更新"
25280037,"ＰＡＲＴ　ＴＨＲＥＥ","飲食店営業","平野","長吉出戸１丁目１１番７７号",34.614542,135.563522,"中山　房子","大　保環第4138号","令和4年5月31日",NA
25160120,"みずな","飲食店営業","平野","長吉出戸１丁目１１番７９号",34.614634,135.563392,"津田　正実","大　保環第16634号","令和4年9月30日",NA
25090267,"長吉ゴルフクラブ㈱","飲食店営業","平野","長吉出戸２丁目１番６０号",34.61505,135.566883,"長吉ゴルフクラブ株式会社","大　保環第19357号","令和4年2月28日",NA
25220381,"長吉ゴルフクラブ株式会社　１Ｆ","喫茶店営業","平野","長吉出戸２丁目１番６０号",34.61505,135.566883,"株式会社　アペックス西日本","大　保環第1200号","令和3年4月30日",NA
25100068,"大月","飲食店営業","平野","長吉出戸２丁目４番５号",34.612586,135.566,"花田　吉正","大　保環第10155号","令和4年7月31日",NA
