X,Y,学校名,施設名,施設名かな,所在地,地区名
135.5370223,34.72301717,生江,大阪市立生江小学校,おおさかしりついくえしょうがっこう,旭区生江1-10-21,旭区
135.5298281,34.72762794,城北,大阪市立城北小学校,おおさかしりつしろきたしょうがっこう,旭区赤川3-13-47,旭区
135.5614688,34.716075,新森小路,大阪市立新森小路小学校,おおさかしりつしんもりしょうじしょうがっこう,旭区新森6-3-13,旭区
135.5539418,34.73254414,太子橋,大阪市立太子橋小学校,おおさかしりつたいしばししょうがっこう,旭区太子橋1-12-15,旭区
135.5393561,34.71390592,高殿南,大阪市立高殿南小学校,おおさかしりつたかどのみなみしょうがっこう,旭区高殿3-10-30,旭区
135.5391519,34.70914703,榎並,大阪市立榎並小学校,おおさかしりつえなみしょうがっこう,城東区野江4-1-28,城東区
135.5504929,34.71465614,関目,大阪市立関目小学校,おおさかしりつせきめしょうがっこう,城東区関目6-5-5,城東区
135.5482521,34.70159592,鯰江,大阪市立鯰江小学校,おおさかしりつなまずえしょうがっこう,城東区今福西3-9-27,城東区
135.5513358,34.69636694,今福,大阪市立今福小学校,おおさかしりついまふくしょうがっこう,城東区今福南2-1-53,城東区
135.5430252,34.69737806,聖賢,大阪市立聖賢小学校,おおさかしりつせいけんしょうがっこう,城東区新喜多2-4-35,城東区
135.5411724,34.69116942,鴫野,大阪市立鴫野小学校,おおさかしりつしぎのしょうがっこう,城東区鴫野西4-11-48,城東区
135.543639,34.68564397,中浜,大阪市立中浜小学校,おおさかしりつなかはましょうがっこう,城東区中浜2-12-35,城東区
135.5481308,34.69104717,城東,大阪市立城東小学校,おおさかしりつじょうとうしょうがっこう,城東区鴫野東3-16-41,城東区
135.5583581,34.68687792,諏訪,大阪市立諏訪小学校,おおさかしりつすわしょうがっこう,城東区永田2丁目15-5,城東区
135.5435528,34.70640581,成育,大阪市立成育小学校,おおさかしりつせいいくしょうがっこう,城東区成育1-5-19,城東区
135.5587752,34.71073914,すみれ,大阪市立すみれ小学校,おおさかしりつすみれしょうがっこう,城東区古市2-6-38,城東区
135.5486563,34.68401,東中浜,大阪市立東中浜小学校,おおさかしりつひがしなかはましょうがっこう,城東区東中浜5-4-5,城東区
135.555583,34.69463903,放出,大阪市立放出小学校,おおさかしりつはなてんしょうがっこう,城東区放出西2丁目2-18,城東区
135.5534143,34.71065608,関目東,大阪市立関目東小学校,おおさかしりつせきめひがししょうがっこう,城東区関目4-12-15,城東区
135.5373968,34.68343531,森之宮,大阪市立森之宮小学校,おおさかしりつもりのみやしょうがっこう,城東区森之宮1-6-64,城東区
135.5546923,34.70046114,鯰江東,大阪市立鯰江東小学校,おおさかしりつなまずえひがししょうがっこう,城東区今福東1-3-26,城東区
135.5683328,34.69476089,榎本,大阪市立榎本小学校,おおさかしりつえのもとしょうがっこう,鶴見区今津北1-5-35,鶴見区
135.5779282,34.69884189,茨田南,大阪市立茨田南小学校,おおさかしりつまったみなみしょうがっこう,鶴見区諸口1-3-71,鶴見区
135.5856579,34.70918914,茨田北,大阪市立茨田北小学校,おおさかしりつまったきたしょうがっこう,鶴見区浜3-8-66,鶴見区
135.5644137,34.70537783,鶴見,大阪市立鶴見小学校,おおさかしりつつるみしょうがっこう,鶴見区鶴見4-14-10,鶴見区
135.5771641,34.69323903,今津,大阪市立今津小学校,おおさかしりついまづしょうがっこう,鶴見区今津中4-1-48,鶴見区
135.5954857,34.70871908,茨田東,大阪市立茨田東小学校,おおさかしりつまったひがししょうがっこう,鶴見区茨田大宮3-7-61,鶴見区
135.5731642,34.70737803,茨田西,大阪市立茨田西小学校,おおさかしりつまったにししょうがっこう,鶴見区横堤5-13-61,鶴見区
135.570067,34.70148881,横堤,大阪市立横堤小学校,おおさかしりつよこづつみしょうがっこう,鶴見区横堤1-11-83,鶴見区
135.5640249,34.71046111,みどり,大阪市立みどり小学校,おおさかしりつみどりしょうがっこう,鶴見区緑2-4-45,鶴見区
135.5656082,34.69912808,鶴見南,大阪市立鶴見南小学校,おおさかしりつつるみみなみしょうがっこう,鶴見区鶴見2-17-22,鶴見区
135.5903862,34.70285289,茨田,大阪市立茨田小学校,おおさかしりつまったしょうがっこう,鶴見区安田2-1-8,鶴見区
135.5840713,34.71605764,焼野,大阪市立焼野小学校,おおさかしりつやけのしょうがっこう,鶴見区焼野１－３－４４,鶴見区
135.5251921,34.64382194,高松,大阪市立高松小学校,おおさかしりつたかまつしょうがっこう,阿倍野区天王寺町北3-17-19,阿倍野区
135.5171362,34.64137789,常盤,大阪市立常盤小学校,おおさかしりつときわしょうがっこう,阿倍野区松崎町3-11-12,阿倍野区
135.5177689,34.64154381,常盤分校,大阪市立常盤小学校分校,ときわしょうがっこうぶんこう,阿倍野区松崎町３丁目２番９号,阿倍野区
135.5075921,34.64280317,金塚,大阪市立金塚小学校,おおさかしりつかなづかしょうがっこう,阿倍野区旭町3-4-46,阿倍野区
135.5085252,34.63696111,丸山,大阪市立丸山小学校,おおさかしりつまるやましょうがっこう,阿倍野区丸山通1-4-43,阿倍野区
135.5043191,34.63218597,晴明丘,大阪市立晴明丘小学校,おおさかしりつせいめいがおかしょうがっこう,阿倍野区晴明通10-34,阿倍野区
135.5129968,34.63226692,阿倍野,大阪市立阿倍野小学校,おおさかしりつあべのしょうがっこう,阿倍野区阪南町2-17-21,阿倍野区
135.5122752,34.62460011,阪南,大阪市立阪南小学校,おおさかしりつはんなんしょうがっこう,阿倍野区阪南町5-7-40,阿倍野区
135.5173471,34.62274686,長池,大阪市立長池小学校,おおさかしりつながいけしょうがっこう,阿倍野区長池町20-26,阿倍野区
135.5163581,34.63571089,苗代,大阪市立苗代小学校,おおさかしりつなわしろしょうがっこう,阿倍野区阪南町1-26-30,阿倍野区
135.4966331,34.62410003,晴明丘南,大阪市立晴明丘南小学校,おおさかしりつせいめいがおかみなみしょうがっこう,阿倍野区帝塚山1-23-8,阿倍野区
135.4902939,34.61830283,粉浜,大阪市立粉浜小学校,おおさかしりつこはましょうがっこう,住之江区粉浜2-6-6,住之江区
135.4882222,34.60436417,安立,大阪市立安立小学校,おおさかしりつあんりゅうしょうがっこう,住之江区住之江1-4-29,住之江区
135.4775279,34.60255594,敷津浦,大阪市立敷津浦小学校,おおさかしりつしきつうらしょうがっこう,住之江区北島2-9-22,住之江区
135.4795222,34.62254394,加賀屋,大阪市立加賀屋小学校,おおさかしりつかがやしょうがっこう,住之江区北加賀屋2-5-26,住之江区
135.4780831,34.61510283,住吉川,大阪市立住吉川小学校,おおさかしりつすみよしがわしょうがっこう,住之江区西加賀屋4-1-4,住之江区
135.4905809,34.62312794,北粉浜,大阪市立北粉浜小学校,おおさかしりつきたこはましょうがっこう,住之江区粉浜1-5-48,住之江区
135.479219,34.60993311,住之江,大阪市立住之江小学校,おおさかしりつすみのえしょうがっこう,住之江区御崎4-6-43,住之江区
135.4559421,34.60904403,平林,大阪市立平林小学校,おおさかしりつひらばやししょうがっこう,住之江区平林南2-6-48,住之江区
135.4842748,34.62016911,加賀屋東,大阪市立加賀屋東小学校,おおさかしりつかがやひがししょうがっこう,住之江区東加賀屋1-6-25,住之江区
135.4633862,34.60576714,新北島,大阪市立新北島小学校,おおさかしりつしんきたじましょうがっこう,住之江区新北島6-2-56,住之江区
135.4233831,34.63384683,南港光,大阪市立南港光小学校,おおさかしりつなんこうひかりしょうがっこう,住之江区南港中4-4-22,住之江区
135.4275219,34.62765597,南港緑,大阪市立南港緑小学校,おおさかしりつなんこうみどりしょうがっこう,住之江区南港中2-7-18,住之江区
135.4208357,34.63541894,南港桜,大阪市立南港桜小学校,おおさかしりつなんこうさくらしょうがっこう,住之江区南港中5-2-48,住之江区
135.4260033,34.62692194,南港渚,大阪市立南港渚小学校,おおさかしりつなんこうなぎさしょうがっこう,住之江区南港中3-7-13,住之江区
